month,skill,mentions,postings
2026-03,Scikit-learn,12,12
2026-03,Semantic Search,9,9
2026-03,Sentence Transformers,1,1
2026-03,Spark,4,4
2026-03,Stakeholder Communication,14,14
2026-03,Statistics,10,10
2026-03,Tableau,5,5
2026-03,Vector Database,10,10
2026-04,APIs,14,14
2026-04,Airflow,5,5
2026-04,Business Recommendations,14,14
2026-04,Data Visualization,8,8
2026-04,Docker,1,1
2026-04,ETL,7,7
2026-04,Econometrics,6,6
2026-04,Economic Analysis,1,1
2026-04,Excel,5,5
2026-04,Future of Work,14,14
2026-04,Gemini API,9,9
2026-04,Information Extraction,4,4
2026-04,KPI Reporting,2,2
2026-04,LLM,13,13
2026-04,Labor Market Analytics,14,14
2026-04,LangChain,11,11
2026-04,MLOps,1,1
2026-04,Machine Learning,9,9
2026-04,Market Research,1,1
2026-04,Model Evaluation,7,7
2026-04,Natural Language Processing,4,4
2026-04,OpenAI API,11,11
2026-04,Power BI,6,6
2026-04,Prompt Engineering,7,7
2026-04,Python,11,11
2026-04,RAG,13,13
2026-04,SQL,6,6
2026-04,Scikit-learn,7,7
2026-04,Semantic Search,10,10
2026-04,Sentence Transformers,4,4
2026-04,Spark,5,5
2026-04,Stakeholder Communication,14,14
2026-04,Statistics,5,5
2026-04,Tableau,5,5
2026-04,Vector Database,11,11
2026-05,APIs,213,213
2026-05,AWS,203,203
2026-05,Agile,87,87
2026-05,Airflow,48,48
2026-05,Azure,179,179
2026-05,Bash,41,41
2026-05,BigQuery,18,18
2026-05,Business Recommendations,15,15
2026-05,CI/CD,74,74
2026-05,Causal Inference,1,1
2026-05,Clustering,2,2
2026-05,Compensation Analytics,1,1
2026-05,Dashboarding,15,15
2026-05,Data Visualization,35,35
2026-05,Data Warehousing,43,43
2026-05,Databricks,33,33
2026-05,Docker,67,67
2026-05,ETL,97,97
2026-05,Econometrics,7,7
2026-05,Economic Analysis,4,4
2026-05,Excel,59,59
2026-05,FastAPI,15,15
2026-05,Feature Engineering,4,4
2026-05,Future of Work,14,14
2026-05,GCP,128,128
2026-05,Gemini API,10,10
2026-05,Git,104,104
2026-05,Hypothesis Testing,2,2
2026-05,Information Extraction,5,5
2026-05,Java,177,177
2026-05,Jira,35,35
2026-05,KPI Reporting,72,72
2026-05,Kafka,77,77
2026-05,Kubernetes,80,80
2026-05,LLM,36,36
2026-05,Labor Market Analytics,15,15
2026-05,LangChain,24,24
2026-05,Linux,46,46
2026-05,LlamaIndex,3,3
2026-05,MLOps,14,14
2026-05,Machine Learning,98,98
2026-05,Market Research,8,8
2026-05,Matplotlib,2,2
2026-05,Model Evaluation,6,6
2026-05,MySQL,40,40
2026-05,Natural Language Processing,30,30
2026-05,OpenAI API,11,11
2026-05,Plotly,1,1
2026-05,PostgreSQL,43,43
2026-05,Power BI,75,75
2026-05,Probability,4,4
2026-05,Prompt Engineering,15,15
2026-05,PySpark,63,63
2026-05,Python,361,361
2026-05,R,15,15
2026-05,RAG,24,24
2026-05,Regression,7,7
2026-05,Regression Analysis,1,1
2026-05,SQL,395,395
2026-05,Scala,59,59
2026-05,Scikit-learn,16,16
2026-05,Semantic Search,9,9
2026-05,Sentence Transformers,7,7
2026-05,Snowflake,28,28
2026-05,Spark,82,82
2026-05,Stakeholder Communication,14,14
2026-05,Statistics,22,22
2026-05,Streamlit,1,1
2026-05,Tableau,39,39
2026-05,Time Series,5,5
2026-05,Vector Database,11,11
2026-05,Workforce Planning,2,2
2026-05,dbt,3,3
NaT,APIs,19,19
NaT,AWS,26,26
NaT,Agile,7,7
NaT,Airflow,2,2
NaT,Azure,32,32
NaT,BigQuery,5,5
NaT,Business Recommendations,2,2
NaT,CI/CD,8,8
NaT,Classification,7,7
NaT,Clustering,1,1
NaT,Dashboarding,5,5
NaT,Data Visualization,6,6
NaT,Data Warehousing,8,8
NaT,Databricks,21,21
NaT,Docker,1,1
NaT,ETL,34,34
NaT,Excel,11,11
NaT,FastAPI,2,2
NaT,Feature Engineering,6,6
NaT,GCP,21,21
NaT,Git,6,6
NaT,Hypothesis Testing,1,1
NaT,Java,5,5
NaT,Jira,2,2
NaT,KPI Reporting,21,21
NaT,Kafka,4,4
NaT,Kubernetes,4,4
NaT,LLM,28,28
NaT,LangChain,15,15
NaT,Linux,1,1
NaT,LlamaIndex,3,3
NaT,MLOps,9,9
NaT,Machine Learning,156,156
NaT,Market Research,1,1
NaT,Matplotlib,2,2
NaT,Model Evaluation,2,2
NaT,MySQL,3,3
NaT,Named Entity Recognition,2,2
NaT,Natural Language Processing,46,46
NaT,PostgreSQL,5,5
NaT,Power BI,9,9
NaT,Prompt Engineering,11,11
NaT,PySpark,13,13
NaT,Python,61,61
NaT,R,11,11
NaT,RAG,37,37
NaT,Random Forest,1,1
NaT,Regression,4,4
NaT,SQL,45,45
NaT,Scala,1,1
NaT,Scikit-learn,4,4
NaT,Seaborn,2,2
NaT,Sentence Transformers,6,6
NaT,Snowflake,7,7
NaT,Spark,8,8
NaT,Statistics,5,5
NaT,Streamlit,2,2
NaT,Tableau,3,3
NaT,Text Classification,1,1
NaT,Time Series,1,1
NaT,Vector Database,6,6
NaT,XGBoost,1,1
NaT,dbt,1,1
